FID,Relief,Conf_R,Slope_MIN,Slope_MAX,Slope_MEAN,LDfG_MAX,LDfG_MEAN,Depth_MIN,Depth_MAX,Depth_MEAN,prc_pit,pit_no,prc_vall,prc_holl,Area,Perimeter,MBG_Width,MBG_Length,MBG_Orient,MBG_W_L,Area_CH,CH_Score,Dissect,Depth_RAN,PP_Score,LDfG_VAR,QuLDfG_Ran
0,0.3,0.30480957,0.639071167,3.839304686,2.508619419,199.0343933,198.021251,-568.1472168,-565.7088013,-566.9666404,0,0,6.225276349,2.49011054,11938.5,432.8,93.787,166.561,90,0.563078992080979,11992.24,1,0.5,2.44,0.8,17694.65,3
1,0.3,0.30480957,0,2.709447861,1.57589916,477.9264221,477.3224476,-846.734436,-845.5151978,-846.2339462,4.897402319,0,29.38441391,1.22435058,12140.4,407.1,108.368,141.028,104.2,0.768414782879995,12287.87,0.99,0.45,1.22,0.92,170009.8,4
2,0.91,0.914428711,0,6.501849651,2.851148836,204.825592,203.7587838,-573.9384155,-571.5,-572.7589569,17.01413582,1,13.82398535,11.69721838,13978.2,448.9,130.572,154.979,90.7,0.842514147077991,14591.41,0.96,0.5,2.44,0.87,19254,3
3,0.91,0,0.285813123,4.428095341,2.51042797,184.4040222,184.1282421,-553.8215942,-552.2976074,-553.3281221,0,0,88.7511285,4.671112027,3182.1,207.7,57.394,69.875,86.6,0.821381037567084,3186.15,1,0.35,1.52,0.93,14191.54,3
4,0.3,0.30480957,0,4.838943005,2.157253388,195.6816101,194.706239,-564.7944336,-561.4415894,-563.5971597,0,0,24.99170301,54.01432586,18437.7,554.5,105.718,226.243,89.9,0.467276335621434,19015.73,0.97,0.37,3.35,0.76,16823.71,3
5,1.83,1.828796387,0,11.79689789,3.343010919,480.9743958,477.4873598,-850.3920288,-840.9432373,-846.38704,13.18582344,1,16.4822793,12.08700482,81164.3,1642.5,240.015,642.065,90,0.373817292641711,112583.64,0.72,0.43,9.45,0.38,170145.82,4
6,1.52,0.30480957,0.404199302,4.241094112,2.57054871,139.9031982,139.241834,-509.3208008,-506.8824158,-508.3488942,56.20332675,0,34.8848235,7.752183007,7669.7,334.8,81.636,117.305,90,0.695929414773454,7880.69,0.97,0.42,2.44,0.86,5511.85,3
7,0.3,0,0.57161361,2.855813742,1.349697908,215.1888123,214.7688524,-584.3016357,-583.0823975,-583.7123372,0,0,54.02468121,10.80493624,6878.4,335.2,74.623,120.262,117.1,0.620503567211588,7296.9,0.94,0.53,1.22,0.77,22430.71,3
8,0.3,0,0,15.08569527,8.044010452,274.6247864,270.108509,-643.7376099,-632.460022,-639.0705619,0,0,0,57.95644106,13593,483.8,101.96,182.771,13.9,0.55785655273539,14915.54,0.91,0.42,11.28,0.73,42069.5,4
9,1.22,0,0,8.192637444,3.090897451,193.8528137,191.7066713,-562.9656372,-556.8696289,-560.6796114,0,0,18.81900858,64.52231515,22115.7,631.2,113.09,265.676,39.6,0.42566885981421,23144.62,0.96,0.38,6.1,0.7,16054.58,3
10,0.61,0.30480957,0,21.44528198,7.754588533,287.1216125,246.6761451,-655.9296265,-561.7463989,-615.5729889,1.02383109,0,5.026079895,9.059353885,479099.3,6349.4,385.366,2348.003,90,0.16412500324744,748245.35,0.64,0.43,94.18,0.15,33006.22,3
11,1.22,0,0,3.230086088,1.309230275,469.0871887,468.7452102,-837.8952026,-836.980835,-837.6721742,84.99679088,0,4.722043939,0,6295.6,299,80.6,93.28,90.2,0.864065180102916,6541.27,0.96,0.27,0.91,0.89,163010.19,4
12,1.22,1.219177246,0,21.03749847,5.586524041,224.6376038,216.6120501,-594.3599854,-563.5751953,-585.5446239,8.588512119,1,39.21742281,9.830224714,143648.2,2643.6,186.449,1207.079,109.8,0.1544629638988,175652.67,0.82,0.29,30.78,0.26,22986.21,3
13,0.91,0.914367676,0.28575772,8.192727089,3.893169755,464.8199768,462.1427493,-833.9328003,-826.6176147,-831.1129647,0,0,28.7184707,19.92710212,25361.5,613.3,172.144,196.019,55.2,0.878200582596585,26480.45,0.96,0.39,7.32,0.85,157722.36,4
14,11.89,9.143981934,0,12.65181732,5.174795061,174.3456116,160.7511815,-544.0679932,-514.8071899,-529.6870629,3.6191855,7,27.60304165,4.159362441,275171.7,3931.6,331.082,1684.228,79,0.196577898004308,397825,0.69,0.49,29.26,0.22,9168.29,3
15,1.83,1.523986816,1.538825631,35.6813736,18.51435074,340.7663879,334.716773,-711.4031982,-688.5432129,-704.5849596,0,0,4.397064986,48.36771487,6760.9,309.1,81.544,116.527,87.2,0.69978631561784,6787.21,1,0.3,22.86,0.89,72747.14,4
16,1.83,1.523986816,1.538825631,35.6813736,18.51435074,340.7663879,334.716773,-711.4031982,-688.5432129,-704.5849596,0,0,4.397064986,48.36771487,6760.9,309.1,81.544,116.527,87.2,0.69978631561784,538221.3,0.01,0.3,22.86,0.89,72747.14,4
17,2.13,0,0.285818845,3.807597876,1.765835012,470.306366,469.9798301,-839.4191895,-838.5048218,-839.0273132,0,0,101.0711809,0,4117.9,233.8,65.148,82.13,117.6,0.793230244733958,4141.6,0.99,0.48,0.91,0.95,164008.66,4
18,0.3,0,0.285818309,5.532243252,2.540865501,165.5063782,164.611975,-534.6192017,-531.571228,-533.5449079,0,0,69.50968121,32.21180349,8767.6,354.8,81.572,129.955,89.7,0.627694201839098,8847.18,0.99,0.36,3.05,0.88,9922.55,3
19,5.49,3.352783203,0.639062405,10.1383791,4.939793953,195.9864197,193.2013914,-566.0136108,-557.479187,-562.300272,31.31010098,1,15.93968777,8.539118452,26110.7,623.3,154.285,232.047,108.6,0.664886854818205,27162.6,0.96,0.44,8.53,0.85,16435.6,3
20,3.66,1.219177246,0.903642774,8.964331627,3.208747355,199.6440125,197.8311139,-569.366394,-563.8800049,-566.8847889,2.969627785,0,54.19570708,8.16647641,20021.6,549.8,147.196,191.13,103.7,0.770135509862397,21208.04,0.94,0.46,5.49,0.83,17644.1,3
21,0.3,0.30480957,0,9.343770981,3.486920698,286.5119934,281.3251811,-655.3200073,-642.213623,-650.2144752,0.857446984,0,48.18852048,25.8948989,86676.7,1191.5,277.262,402.882,26.6,0.688196543901192,93483.84,0.93,0.39,13.11,0.77,46796.58,4
22,2.44,0.914428711,0,3.329313278,1.423218121,424.8912048,424.2636568,-794.0040283,-792.1752319,-793.1308396,38.40861829,0,30.6068677,2.400538642,24768,674.6,118.022,264.711,0.1,0.445852269078353,26178.48,0.95,0.51,1.83,0.69,129070.38,4
23,12.5,9.753601074,0.639087975,14.2761097,5.868728135,210.0071716,201.9380137,-580.0344238,-562.6608276,-570.9696142,11.48953006,2,32.49895645,6.893718035,90559.8,1373.5,248.993,516.53,149.5,0.482049445337154,105180.2,0.86,0.52,17.37,0.6,18752.02,3
24,1.52,0.609619141,0,14.98684883,6.267743811,428.8536072,422.2811341,-797.9664307,-776.6304321,-791.2256396,0,0,16.43017389,61.06547962,54281.1,939.4,190.131,362.308,1.1,0.524777261335659,56961.83,0.95,0.32,21.34,0.77,127649.81,4
25,1.83,0,0,2.30314374,0.969790383,465.4295959,465.1628876,-834.2376099,-833.9328003,-834.1233063,98.10628661,0,0,0,3636.3,223.1,57.391,80.488,89.6,0.713037968392804,3650.74,1,0.56,0.3,0.92,160130.34,4
26,2.74,0.914367676,0.808374465,3.437558651,2.179934047,233.4767761,232.4558618,-602.5895996,-600.4559937,-601.4414288,25.75852587,1,65.38702722,2.9721376,15003.5,461.9,130.332,141.442,89.7,0.921451902546627,15473.96,0.97,0.56,2.13,0.89,28041.47,3
27,1.22,0.609619141,0.571623981,9.903611183,4.303350267,171.6023865,169.3452239,-541.0200195,-534.9240112,-538.4141026,0,0,0,9.366632598,15869.2,503.2,93.599,202.859,180,0.461399297048689,16070.07,0.99,0.43,6.1,0.79,10887.93,3
28,14.02,0.609619141,0.639089167,14.79669189,4.995861168,330.7079773,321.3755586,-699.8208008,-668.7312012,-690.2834201,6.282483733,0,48.7816384,22.78940178,120664.3,1551.2,352.495,485.627,123.5,0.725855440492394,136323.52,0.89,0.31,31.09,0.63,65728.43,4
29,1.52,0.30480957,0.285821438,6.551301003,2.630303455,191.7192078,191.0911209,-560.8320313,-559.0032349,-560.222414,64.05982772,0,12.20187195,9.151403956,4872.7,255.1,69.685,81.961,90,0.850221446785666,4886.71,1,0.35,1.83,0.94,15898.97,3
30,3.05,1.219238281,0.404207349,3.341634035,2.283327403,224.6376038,222.6662694,-593.7504272,-588.5687866,-591.5984613,25.78752095,0,44.54208164,12.19046445,31702.5,701.1,163.727,268.067,104.2,0.610768949553656,32775.39,0.97,0.42,5.18,0.81,24858.65,3
31,3.66,3.657592773,0.285819858,18.59550095,8.165918094,838.2000732,828.7878059,-1207.617676,-1182.928833,-1197.952844,4.339248216,1,15.04272715,12.14989501,51382.7,944.5,179.752,365.763,24.3,0.491443913135008,54672.38,0.94,0.39,24.69,0.73,583371.81,4
